method,family,lambda_key,lambda,seeds,P_mean,P_std,C_mean,C_std,R_mean,R_std
Best Fixed Model,static_or_oracle,reward_qnorm_lam_01,0.1,"[1, 2, 3, 4, 5]",0.4807523290176263,0.037573861470017886,0.562843578818917,0.0058804652626462135,0.4244679711357347,0.03743131276452616
Best Fixed Model,static_or_oracle,reward_qnorm_lam_05,0.5,"[1, 2, 3, 4, 5]",0.35974717281960034,0.031500543084666564,0.13061722170019086,0.0029382372127350685,0.2944385619695049,0.030732258788803365
Best Fixed Model,static_or_oracle,reward_qnorm_lam_09,0.9,"[1, 2, 3, 4, 5]",0.3268177168777866,0.03252061622282097,0.08731123269844247,0.004808015012724264,0.24823760744918838,0.032967040687017356
Best Fixed Pair,static_or_oracle,reward_qnorm_lam_01,0.1,"[1, 2, 3, 4, 5]",0.5454128743073137,0.04092221873740814,0.5600202277478247,0.007358998211981664,0.4894108515325314,0.040924935576032474
Best Fixed Pair,static_or_oracle,reward_qnorm_lam_05,0.5,"[1, 2, 3, 4, 5]",0.4296054015862305,0.0225286706596372,0.11747263178624026,0.004304934295786271,0.3708690856931104,0.021871721900957635
Best Fixed Pair,static_or_oracle,reward_qnorm_lam_09,0.9,"[1, 2, 3, 4, 5]",0.4296054015862305,0.0225286706596372,0.11747263178624026,0.004304934295786271,0.3238800329786143,0.02148741208325355
Edge-GNN,learned_joint,reward_qnorm_lam_01,0.1,"[1, 2, 3, 4, 5]",0.5256963601245657,0.04495696190865667,0.4416786405348606,0.11213022395859278,0.4815284960710796,0.03683417137295144
Edge-GNN,learned_joint,reward_qnorm_lam_05,0.5,"[1, 2, 3, 4, 5]",0.4532814916235856,0.052666823768341295,0.14048385953405376,0.048029340984587145,0.3830395618565588,0.035674609378925345
Edge-GNN,learned_joint,reward_qnorm_lam_09,0.9,"[1, 2, 3, 4, 5]",0.4145338123906705,0.03494785914544043,0.06539220946011083,0.02591423706509333,0.35568082387657085,0.03434636453523254
Flat-MLP,learned_no_graph,reward_qnorm_lam_01,0.1,"[1, 2, 3, 4, 5]",0.5659798347692135,0.039249627220364985,0.46442604281191063,0.057633101018734534,0.5195372304880225,0.042852748194696096
Flat-MLP,learned_no_graph,reward_qnorm_lam_05,0.5,"[1, 2, 3, 4, 5]",0.4408903689089502,0.05467154909568892,0.10865774749522583,0.048661769416284605,0.3865614951613373,0.05000806255263602
Flat-MLP,learned_no_graph,reward_qnorm_lam_09,0.9,"[1, 2, 3, 4, 5]",0.41055692514890285,0.0337756076293478,0.06345897729644878,0.007291656242437615,0.3534438455820989,0.029715470761405172
GraphRouter-direct,learned_model_only,reward_qnorm_lam_01,0.1,"[1, 2, 3, 4, 5]",0.4622873421789201,0.05256001180546793,0.37810858001793957,0.05357388368365485,0.42447648417712613,0.05422817965734979
GraphRouter-direct,learned_model_only,reward_qnorm_lam_05,0.5,"[1, 2, 3, 4, 5]",0.4020694037637681,0.07069916503950889,0.22504074153777073,0.03281961803875991,0.28954903299488277,0.05989713535711424
GraphRouter-direct,learned_model_only,reward_qnorm_lam_09,0.9,"[1, 2, 3, 4, 5]",0.326468105494114,0.05705876903709969,0.10473882856077121,0.030478331840950154,0.2322031597894199,0.030770361024489788
Largest LLM,static_or_oracle,reward_qnorm_lam_01,0.1,"[1, 2, 3, 4, 5]",0.39990958479885197,0.027535302654787874,0.7534415838549334,0.010522742468900094,0.32456542641335856,0.028376848636786405
Largest LLM,static_or_oracle,reward_qnorm_lam_05,0.5,"[1, 2, 3, 4, 5]",0.39990958479885197,0.027535302654787874,0.7534415838549334,0.010522742468900094,0.023188792871385207,0.031868507110087325
Largest LLM,static_or_oracle,reward_qnorm_lam_09,0.9,"[1, 2, 3, 4, 5]",0.39990958479885197,0.027535302654787874,0.7534415838549334,0.010522742468900094,-0.2781878406705882,0.035516066043379056
Oracle,static_or_oracle,reward_qnorm_lam_01,0.1,"[1, 2, 3, 4, 5]",0.7664377830395417,0.04201012831039279,0.18535324542377146,0.018510125043227826,0.7479024584971643,0.040990190218844764
Oracle,static_or_oracle,reward_qnorm_lam_05,0.5,"[1, 2, 3, 4, 5]",0.7520584123916757,0.0419929230236973,0.13074566212710986,0.014690118627856486,0.6866855813281206,0.037506323276604976
Oracle,static_or_oracle,reward_qnorm_lam_09,0.9,"[1, 2, 3, 4, 5]",0.7267382191274256,0.03789667358790199,0.09448579639653557,0.015531315545322541,0.6417010023705435,0.036161020322744715
Oracle Model-Only,static_or_oracle,reward_qnorm_lam_01,0.1,"[1, 2, 3, 4, 5]",0.6128142086412862,0.042243547280203096,0.322889420145794,0.011020613549286202,0.5805252666267069,0.04182141550773353
Oracle Model-Only,static_or_oracle,reward_qnorm_lam_05,0.5,"[1, 2, 3, 4, 5]",0.5732563430956319,0.040852453121774275,0.18437669332320478,0.012620988298058002,0.4810679964340293,0.04053862463957196
Oracle Model-Only,static_or_oracle,reward_qnorm_lam_09,0.9,"[1, 2, 3, 4, 5]",0.5348442260154387,0.046288577594277146,0.12688980003971806,0.009574939160859715,0.4206434059796923,0.03956375364514262
Smallest LLM,static_or_oracle,reward_qnorm_lam_01,0.1,"[1, 2, 3, 4, 5]",0.25164950690968296,0.004992639406504817,0.03357398949257506,0.0005484897157697187,0.2482921079604254,0.004993704192472496
Smallest LLM,static_or_oracle,reward_qnorm_lam_05,0.5,"[1, 2, 3, 4, 5]",0.25164950690968296,0.004992639406504817,0.03357398949257506,0.0005484897157697187,0.23486251216339538,0.005003976721539582
Smallest LLM,static_or_oracle,reward_qnorm_lam_09,0.9,"[1, 2, 3, 4, 5]",0.25164950690968296,0.004992639406504817,0.03357398949257506,0.0005484897157697187,0.22143291636636536,0.0050238186280317535
