config_id,edge_top_k,full_prompt_model_lattice,lambda_key,lambda,seeds,P_mean,P_std,C_mean,C_std,R_mean,R_std
topk3_observed,3,False,reward_qnorm_lam_01,0.1,"[1, 2, 3, 4, 5]",0.5037367226882231,0.02487832318242285,0.32407785033890957,0.14196699713786892,0.4713289376543324,0.026115075241620572
topk3_observed,3,False,reward_qnorm_lam_05,0.5,"[1, 2, 3, 4, 5]",0.45136853430394164,0.044037641244296516,0.12740332981530655,0.029679052170319506,0.38766686939628847,0.03367777754856833
topk3_observed,3,False,reward_qnorm_lam_09,0.9,"[1, 2, 3, 4, 5]",0.41586331156786704,0.03196383446170488,0.08674768721676043,0.04806921067738626,0.3377903930727828,0.0370853894264529
topk5_observed,5,False,reward_qnorm_lam_01,0.1,"[1, 2, 3, 4, 5]",0.5220547600438732,0.05108266465817052,0.35089912735348283,0.07918572230096822,0.4869648473085252,0.05037824352879475
topk5_observed,5,False,reward_qnorm_lam_05,0.5,"[1, 2, 3, 4, 5]",0.4422952321368028,0.04991561146622851,0.12945680408081287,0.03503640527868567,0.37756683009639647,0.04282165810054127
topk5_observed,5,False,reward_qnorm_lam_09,0.9,"[1, 2, 3, 4, 5]",0.4150514442479625,0.04371665199672006,0.07721631756325696,0.03246536914571583,0.3455567584410312,0.021083981668539777
topk3_lattice,3,True,reward_qnorm_lam_01,0.1,"[1, 2, 3, 4, 5]",0.5037367226882231,0.02487832318242285,0.32407785033890957,0.14196699713786892,0.4713289376543324,0.026115075241620572
topk3_lattice,3,True,reward_qnorm_lam_05,0.5,"[1, 2, 3, 4, 5]",0.4515481742552132,0.044366563171681084,0.13092593573174555,0.03452878643983835,0.3860852063893406,0.030790888970183825
topk3_lattice,3,True,reward_qnorm_lam_09,0.9,"[1, 2, 3, 4, 5]",0.4194082011677761,0.04310141132236285,0.09387388330903926,0.027928170800440504,0.33492170618964084,0.031155459874024658
topk5_lattice,5,True,reward_qnorm_lam_01,0.1,"[1, 2, 3, 4, 5]",0.5220547600438732,0.05108266465817052,0.35089912735348283,0.07918572230096822,0.4869648473085252,0.05037824352879475
topk5_lattice,5,True,reward_qnorm_lam_05,0.5,"[1, 2, 3, 4, 5]",0.4422952321368028,0.04991561146622851,0.12945680408081287,0.03503640527868567,0.37756683009639647,0.04282165810054127
topk5_lattice,5,True,reward_qnorm_lam_09,0.9,"[1, 2, 3, 4, 5]",0.4150514442479625,0.04371665199672006,0.07721631756325696,0.03246536914571583,0.3455567584410312,0.021083981668539777
